"순 이름 팀 정렬
G
타석
타수
득점
안타
2타
3타
홈런
루타
타점
도루
도실
볼넷
사구
고4
삼진
병살
희타
희비
비율
WAR*
WPA"
"WAR*
타율
출루
장타
OPS
wOBA
wRC+"
1 김재환 18두LF 6.94 139 602 527 104 176 36 1 44 346 133 2 0 59 9 4 134 6 0 7 .334 .405 .657 1.062 .438 168.8 6.94 5.80
2 양의지 18두C 6.42 133 503 439 84 157 29 1 23 257 77 6 0 45 13 6 40 13 0 6 .358 .427 .585 1.013 .431 160.5 6.42 3.91
3 페르난데스 19두DH 5.10 144 645 572 87 197 34 0 15 276 88 1 2 61 6 4 54 16 0 6 .344 .409 .483 .892 .408 154.7 5.10 3.32
4 김재환 21두LF 4.77 137 566 475 86 130 23 2 27 238 102 2 3 81 5 3 127 9 0 5 .274 .382 .501 .883 .401 148.2 4.77 2.69
5 김재환 20두LF 4.70 140 613 515 82 137 26 1 30 255 113 6 0 91 1 3 154 14 0 6 .266 .374 .495 .869 .385 135.2 4.70 2.33
6 박건우 19두RF 4.68 127 537 458 83 146 27 5 10 213 64 12 3 60 7 0 57 23 1 11 .319 .397 .465 .863 .394 144.3 4.68 0.91
7 최주환 18두DH 4.66 138 590 519 87 173 39 6 26 302 108 1 0 51 10 1 89 5 0 10 .333 .397 .582 .979 .413 148.6 4.66 3.90
8 박건우 21두RF 4.62 126 525 458 82 149 31 2 6 202 63 13 0 50 11 2 72 16 0 6 .325 .400 .441 .841 .394 138.5 4.62 1.64
9 페르난데스 20두DH 4.40 144 668 586 104 199 29 0 21 291 105 0 1 58 13 1 42 26 0 11 .340 .404 .497 .901 .406 146.5 4.40 4.31
10 오재일 19두1B 4.14 130 529 467 76 137 29 1 21 231 102 2 1 55 3 1 99 5 0 4 .293 .369 .495 .863 .390 145.1 4.14 4.60
"순 이름 팀 정렬
G
타석
타수
득점
안타
2타
3타
홈런
루타
타점
도루
도실
볼넷
사구
고4
삼진
병살
희타
희비
비율
WAR*
