"순 이름 팀 정렬
출장
완투
완봉
선발
승
패
세
홀드
이닝
실점
자책
타자
안타
2타
3타
홈런
볼넷
고4
사구
삼진
보크
폭투
비율
WAR
WPA"
"WAR
ERA
FIP
WHIP
ERA+
FIP+"
1 알칸타라 20두 8.31 31 1 0 31 20 2 0 0 198.2 58 56 795 174 38 3 12 30 0 9 182 1 3 2.54 3.10 1.03 182.6 149.7 8.31 4.35
2 미란다 21두 7.09 28 1 1 28 14 5 0 0 173.2 49 45 709 135 21 1 11 63 0 1 225 1 7 2.33 2.67 1.14 185.0 161.1 7.09 3.27
3 린드블럼 19두 6.86 30 0 0 30 20 3 0 0 194.2 57 54 773 165 22 3 13 29 0 6 189 0 7 2.50 2.87 1.00 164.4 141.5 6.86 4.44
4 린드블럼 18두 6.81 26 0 0 26 15 4 0 0 168.2 56 54 681 142 33 2 16 38 0 8 157 0 10 2.88 4.02 1.07 175.4 125.2 6.81 2.06
5 최원준 21두 4.13 29 0 0 29 12 4 0 0 158.1 65 58 673 160 31 4 15 37 1 10 113 0 0 3.30 4.01 1.24 130.8 107.1 4.13 1.17
6 후랭코프 18두 4.12 28 0 0 28 18 3 0 0 149.1 64 62 621 118 17 1 12 55 1 22 134 0 15 3.74 4.61 1.16 135.3 110.0 4.12 1.18
7 로켓 21두 4.10 21 1 0 21 9 9 0 0 124.0 44 41 540 132 20 2 5 42 1 12 112 1 1 2.98 3.33 1.40 144.9 130.9 4.10 1.00
8 이용찬 18두 3.91 25 1 0 24 15 3 0 0 144.0 62 58 608 151 24 1 14 36 2 8 102 0 6 3.63 4.56 1.30 139.4 110.8 3.91 0.45
9 유희관 19두 3.55 28 2 0 27 11 8 0 0 166.1 67 60 692 171 37 2 8 42 3 3 64 0 2 3.25 4.02 1.28 126.5 102.3 3.55 1.70
10 플렉센 20두 3.51 21 0 0 21 8 4 0 0 116.2 43 39 472 97 14 0 6 30 2 2 132 0 5 3.01 2.73 1.09 154.0 169.7 3.51 1.01
"순 이름 팀 정렬
출장
완투
완봉
선발
승
패
세
홀드
이닝
실점
자책
타자
안타
2타
3타
홈런
볼넷
고4
사구
삼진
보크
폭투
비율
WAR
WPA"
"WAR
ERA
FIP
WHIP
ERA+
FIP+"
