"순 이름 팀 정렬
출장
완투
완봉
선발
승
패
세
홀드
이닝
실점
자책
타자
안타
2타
3타
홈런
볼넷
고4
사구
삼진
보크
폭투
비율
WAR
WPA"
"WAR
ERA
FIP
WHIP
ERA+
FIP+"
1 김광현 19S 6.39 31 0 0 30 17 6 0 0 190.1 64 53 786 198 17 0 13 38 1 2 180 0 8 2.51 3.01 1.24 169.8 142.2 6.39 3.28
2 산체스 19S 5.93 28 0 0 28 17 5 0 0 165.0 51 48 671 151 18 2 2 42 0 2 148 2 11 2.62 2.57 1.17 162.5 163.8 5.93 3.64
3 김광현 18S 5.26 25 0 0 25 11 8 0 0 136.0 48 45 554 125 16 2 16 30 0 2 130 0 3 2.98 4.16 1.14 176.5 127.4 5.26 1.91
4 켈리 18S 3.89 28 0 0 28 12 7 0 0 158.1 78 72 674 152 28 3 18 47 1 13 161 2 5 4.09 4.40 1.26 128.5 120.4 3.89 -0.45
5 문승원 20S 3.82 25 1 0 25 6 8 0 0 145.2 64 59 610 136 29 0 13 45 0 6 117 0 2 3.65 4.16 1.24 132.3 117.1 3.82 0.65
6 박종훈 18S 3.38 30 0 0 30 14 8 0 0 159.1 81 74 702 158 31 3 16 54 0 20 133 0 3 4.18 4.86 1.33 125.8 108.3 3.38 -0.38
7 하재훈 19S 3.09 61 0 0 0 5 3 36 3 59.0 13 13 245 47 11 0 1 26 2 1 64 1 0 1.98 2.73 1.24 214.6 154.7 3.09 3.47
8 문승원 19S 2.89 26 0 0 23 11 7 0 2 144.0 63 62 586 130 13 5 23 33 1 3 99 0 0 3.88 4.83 1.13 109.8 89.6 2.89 0.72
9 서진용 19S 2.63 72 0 0 0 3 1 4 33 68.0 19 18 279 53 9 2 2 28 4 2 76 0 1 2.38 2.70 1.19 178.6 157.4 2.63 2.87
10 문승원 18S 2.41 31 0 0 27 8 9 1 1 150.2 86 77 656 180 33 2 24 37 0 4 122 0 4 4.60 5.10 1.44 114.3 104.0 2.41 -1.49
"순 이름 팀 정렬
출장
완투
완봉
선발
승
패
세
홀드
이닝
실점
자책
타자
안타
2타
3타
홈런
볼넷
고4
사구
삼진
보크
폭투
비율
WAR
WPA"
"WAR
ERA
FIP
WHIP
ERA+
FIP+"
11 박민호 20S 2.29 57 0 0 0 2 1 4 11 52.0 16 14 215 43 9 0 4 19 0 2 36 0 0 2.42 4.38 1.19 199.1 110.8 2.29 -0.61
12 김태훈 18S 2.26 61 0 0 4 9 3 0 10 94.0 44 40 394 88 17 0 8 36 4 2 93 0 11 3.83 4.05 1.32 137.3 130.6 2.26 -0.02
13 박종훈 19S 2.10 28 0 0 28 8 11 0 0 144.0 72 62 643 157 29 0 12 59 0 13 100 0 1 3.88 4.60 1.50 109.8 92.8 2.10 0.73
14 소사 19S 1.93 16 0 0 16 9 3 0 0 94.1 42 40 387 85 6 0 15 23 0 2 96 1 3 3.82 4.23 1.15 111.5 103.0 1.93 1.38
15 박종훈 20S 1.90 29 0 0 28 13 11 0 0 157.1 90 84 691 146 21 3 14 78 1 22 134 0 5 4.81 4.90 1.42 100.4 99.5 1.90 -1.54
16 산체스 18S 1.88 29 0 0 26 8 8 0 1 145.1 90 79 632 161 21 3 26 39 1 7 124 0 12 4.89 5.38 1.38 107.5 98.8 1.88 -1.34
17 신재웅 18S 1.68 54 0 0 0 2 3 16 6 52.0 23 16 226 49 3 0 5 28 0 1 43 0 3 2.77 5.10 1.48 189.9 102.8 1.68 -0.38
18 다익손 19S 1.41 12 0 0 12 3 2 0 0 65.2 29 26 280 65 13 2 7 18 0 2 58 0 1 3.56 3.94 1.26 119.4 109.4 1.41 0.38
19 박민호 19S 1.26 47 0 0 0 3 1 0 4 50.1 17 15 209 49 10 0 2 14 0 4 22 0 0 2.68 4.12 1.25 158.7 102.7 1.26 -0.28
20 서진용 20S 1.09 63 0 0 0 2 7 8 12 61.0 33 28 264 52 4 1 11 34 1 1 56 0 7 4.13 5.74 1.41 116.8 85.4 1.09 -1.57
"순 이름 팀 정렬
출장
완투
완봉
선발
승
패
세
홀드
이닝
실점
자책
타자
안타
2타
3타
홈런
볼넷
고4
사구
삼진
보크
폭투
비율
WAR
WPA"
"WAR
ERA
FIP
WHIP
ERA+
FIP+"
21 김태훈 19S 1.05 71 0 0 0 4 5 7 27 69.2 33 31 296 62 8 0 4 26 0 4 76 0 7 4.00 3.26 1.26 106.3 130.9 1.05 0.42
22 이건욱 20S 1.03 27 0 0 25 6 12 0 0 122.0 77 77 542 105 16 4 11 81 0 6 91 1 6 5.68 5.38 1.53 84.9 90.3 1.03 -1.61
23 윤희상 18S 0.71 46 0 0 1 1 2 1 7 51.0 29 29 211 55 5 1 8 7 1 2 44 0 1 5.12 4.62 1.22 102.7 115.4 0.71 -0.22
