"순 이름 팀 정렬
G
타석
타수
득점
안타
2타
3타
홈런
루타
타점
도루
도실
볼넷
사구
고4
삼진
병살
WAR*
WPA"
"WAR*
타율
출루
장타
OPS
wOBA
wRC+"
1 로하스 20KRF 7.76 142 628 550 116 192 39 1 47 374 135 0 1 65 5 5 132 11 .417 .680 1.097 .467 180.5 7.76 7.29
2 강백호 21K1B 6.35 142 627 516 76 179 40 1 16 269 102 10 5 103 0 10 85 7 .450 .521 .971 .443 165.5 6.35 5.78
3 로하스 18KCF 5.66 144 645 564 114 172 30 1 43 333 114 18 13 71 7 4 142 10 .388 .590 .979 .410 138.5 5.66 5.41
4 로하스 19KCF 5.47 142 577 520 68 167 29 3 24 274 104 4 4 49 3 5 120 4 .380 .527 .907 .405 150.6 5.47 1.30
5 황재균 20K3B 5.14 134 600 541 108 169 35 5 21 277 97 11 6 47 5 0 98 12 .370 .512 .882 .391 129.7 5.14 3.52
6 강백호 20K1B 4.75 129 574 500 95 165 36 1 23 272 89 7 2 66 5 9 93 7 .411 .544 .955 .421 149.3 4.75 3.13
7 강백호 19KRF 4.69 117 505 438 72 147 29 1 13 217 65 9 5 61 2 4 87 11 .416 .495 .911 .415 156.0 4.69 3.78
8 황재균 19K3B 3.98 124 507 448 78 127 16 3 20 209 67 10 7 52 2 2 71 10 .357 .467 .824 .373 128.8 3.98 2.15
9 배정대 20KCF 3.55 144 615 533 88 154 25 3 13 224 65 22 13 68 5 0 142 9 .372 .420 .792 .362 110.3 3.55 0.95
10 유한준 18KRF 3.48 121 480 428 59 145 21 1 20 228 83 1 1 47 2 3 53 9 .406 .533 .939 .404 134.5 3.48 2.84
"순 이름 팀 정렬
G
타석
타수
득점
안타
2타
3타
홈런
루타
타점
도루
도실
볼넷
사구
고4
삼진
병살
WAR*
WPA"
"WAR*
타율
출루
장타
OPS
wOBA
wRC+"
