year,team,ranking
2000,현대,1
2000,두산,2
2000,삼성,3
2000,LG,4
2000,롯데,5
2000,해태,6
2000,한화,7
2000,SSG,8
2001,두산,1
2001,삼성,2
2001,현대,3
2001,한화,4
2001,KIA,5
2001,LG,6
2001,SSG,7
2001,롯데,8
2002,삼성,1
2002,LG,2
2002,KIA,3
2002,현대,4
2002,두산,5
2002,SSG,6
2002,한화,7
2002,롯데,8
2003,현대,1
2003,SSG,2
2003,KIA,3
2003,삼성,4
2003,한화,5
2003,LG,6
2003,두산,7
2003,롯데,8
2004,현대,1
2004,삼성,2
2004,두산,3
2004,KIA,4
2004,SSG,5
2004,LG,6
2004,한화,7
2004,롯데,8
2005,삼성,1
2005,두산,2
2005,SSG,3
2005,한화,4
2005,롯데,5
2005,LG,6
2005,현대,7
2005,KIA,8
2006,삼성,1
2006,한화,2
2006,현대,3
2006,KIA,4
2006,두산,5
2006,SSG,6
2006,롯데,7
2006,LG,8
2007,SSG,1
2007,두산,2
2007,한화,3
2007,삼성,4
2007,LG,5
2007,현대,6
2007,롯데,7
2007,KIA,8
2008,SSG,1
2008,두산,2
2008,롯데,3
2008,삼성,4
2008,한화,5
2008,KIA,6
2008,키움,7
2008,LG,8
2009,KIA,1
2009,SSG,2
2009,두산,3
2009,롯데,4
2009,삼성,5
2009,키움,6
2009,LG,7
2009,한화,8
2010,SSG,1
2010,삼성,2
2010,두산,3
2010,롯데,4
2010,KIA,5
2010,LG,6
2010,키움,7
2010,한화,8
2011,삼성,1
2011,SSG,2
2011,롯데,3
2011,KIA,4
2011,두산,5
2011,한화,6
2011,LG,7
2011,키움,8
2012,삼성,1
2012,SSG,2
2012,두산,3
2012,롯데,4
2012,KIA,5
2012,키움,6
2012,LG,7
2012,한화,8
2013,삼성,1
2013,두산,2
2013,LG,3
2013,키움,4
2013,롯데,5
2013,SSG,6
2013,NC,7
2013,KIA,8
2013,한화,9
2014,삼성,1
2014,키움,2
2014,NC,3
2014,LG,4
2014,SSG,5
2014,두산,6
2014,롯데,7
2014,KIA,8
2014,한화,9
2015,두산,1
2015,삼성,2
2015,NC,3
2015,키움,4
2015,SSG,5
2015,한화,6
2015,KIA,7
2015,롯데 ,8
2015,LG,9
2015,kt,10
2016,두산,1
2016,NC,2
2016,키움,3
2016,LG,4
2016,KIA,5
2016,SSG,6
2016,한화,7
2016,롯데,8
2016,삼성,9
2016,kt,10
2017,KIA,1
2017,두산,2
2017,롯데,3
2017,NC,4
2017,SSG,5
2017,LG,6
2017,키움,7
2017,한화,8
2017,삼성,9
2017,kt,10
2018,SSG,1
2018,두산,2
2018,한화,3
2018,키움,4
2018,KIA,5
2018,삼성,6
2018,롯데,7
2018,LG,8
2018,kt,9
2018,NC,10
2019,두산,1
2019,키움,2
2019,SSG,3
2019,LG,4
2019,NC,5
2019,kt,6
2019,KIA,7
2019,삼성,8
2019,한화,9
2019,롯데,10
2020,NC,1
2020,두산,2
2020,kt,3
2020,LG,4
2020,키움,5
2020,KIA,6
2020,롯데,7
2020,삼성,8
2020,SSG,9
2020,한화,10
2021,kt,1
2021,두산,2
2021,삼성,3
2021,LG,4
2021,키움,5
2021,SSG,6
2021,NC,7
2021,롯데,8
2021,KIA,9
2021,한화,10
