,ranking,name,season_team,war,choolzhang,wanto,sonbal,win,loose,save,hold,inning,silzeom,zachaeck,taza,anta,2hit,3hit,homerun,ballfour,gofour,sagu,samzin,vok,poktu,era,fip,whip,wra+,fip+,wpa
0,1,양현종,19K,7.35,29,2,2,29,16,8,0,0,184.2,56,47,731,165,32,1,6,33,0,2,163,0,1,2.29,1.07,183.1,160.3,3.81
1,2,브룩스,20K,7.16,23,1,1,23,11,4,0,0,151.1,43,42,586,131,18,0,4,24,0,3,130,1,3,2.50,1.02,192.2,177.8,3.39
2,3,양현종,18K,5.21,29,3,0,29,13,11,0,0,184.1,88,85,772,199,33,0,21,43,1,2,152,0,5,4.15,1.31,123.7,117.9,-1.06
3,4,정해영,21K,3.79,64,0,0,0,5,4,34,0,65.1,18,16,272,49,10,0,5,28,1,4,49,0,1,2.20,1.18,201.8,104.7,2.88
4,5,멩덴,21K,3.09,21,0,0,21,8,3,0,0,120.0,53,48,502,109,18,2,12,35,0,8,104,3,2,3.60,1.20,123.5,111.9,0.51
5,6,헥터,18K,2.96,29,1,0,29,11,10,0,0,174.0,102,89,753,209,31,0,25,36,2,4,137,1,4,4.60,1.41,111.5,107.9,-1.24
6,7,장현식,21K,2.93,69,0,0,0,1,5,1,34,76.2,28,28,336,67,7,1,7,42,1,3,80,0,8,3.29,1.42,135.3,107.3,1.98
7,8,문경찬,19K,2.88,54,0,0,0,1,2,24,0,55.0,9,8,217,45,9,1,2,10,1,0,50,0,0,1.31,1.00,320.3,165.4,0.26
8,9,가뇽,20K,2.84,28,0,0,28,11,8,0,0,159.2,86,77,702,162,33,8,7,64,0,9,141,0,13,4.34,1.42,110.6,129.2,-0.55
9,10,박준표,20K,2.66,50,0,0,0,7,1,6,11,51.2,16,9,205,41,3,0,3,8,2,0,44,0,2,1.57,0.95,306.2,162.2,1.35
10,11,양현종,20K,2.52,31,0,0,31,11,10,0,0,172.1,99,90,746,180,40,4,13,64,0,5,149,0,7,4.70,1.42,102.1,120.1,-0.98
11,12,김윤동,18K,2.37,64,0,0,0,7,6,4,18,82.2,39,34,369,71,13,1,9,54,7,2,79,0,7,3.70,1.51,138.7,100.9,-0.97
12,13,이의리,21K,2.35,19,0,0,19,4,5,0,0,94.2,42,38,404,69,11,0,6,56,0,2,93,0,5,3.61,1.32,123.1,111.0,0.31
13,14,박준표,19K,2.14,49,0,0,0,5,2,0,15,56.0,15,13,210,42,5,1,4,6,1,4,30,0,1,2.09,0.86,200.7,111.8,1.94
14,15,브룩스,21K,2.06,13,0,0,13,3,5,0,0,78.0,34,29,333,93,12,1,4,16,0,1,55,0,0,3.35,1.40,132.9,137.5,0.54
15,16,임기영,21K,1.98,28,0,0,28,8,8,0,0,153.0,85,83,662,155,29,1,15,45,0,11,129,2,6,4.88,1.31,91.1,110.6,-0.13
16,17,전상현,19K,1.83,57,0,0,0,1,4,0,15,60.2,21,21,245,45,8,1,3,21,2,2,62,0,2,3.12,1.09,134.6,138.6,0.47
17,18,양현종,22K,1.75,15,0,0,15,7,2,0,0,89.0,36,28,361,75,12,2,5,21,1,2,65,0,1,2.83,1.08,138.2,117.6,1.24
18,19,전상현,20K,1.61,47,0,0,0,2,2,15,13,47.2,21,13,198,35,6,1,4,22,0,0,64,0,2,2.45,1.20,195.5,145.0,1.87
19,20,윌랜드,19K,1.61,28,0,0,28,8,10,0,0,165.0,95,87,726,191,41,1,17,59,1,5,137,0,4,4.75,1.52,88.4,99.0,-0.78
20,21,임창용,18K,1.56,37,0,0,12,5,5,4,4,86.1,54,52,388,92,24,1,16,29,1,11,84,0,5,5.42,1.40,94.7,91.2,-0.99
21,22,정해영,20K,1.47,47,0,0,0,5,3,1,11,37.2,15,14,169,40,5,1,2,24,2,2,32,0,7,3.35,1.70,143.5,107.5,-0.66
22,23,임기준,18K,1.47,55,0,0,0,5,1,2,8,56.0,27,22,243,59,5,1,7,23,0,3,45,1,3,3.54,1.46,145.2,98.4,1.04
23,24,임기영,20K,1.34,25,0,0,25,9,10,0,0,127.2,80,73,559,152,26,3,12,33,0,9,106,1,3,5.15,1.45,93.3,117.1,-1.25
24,25,윤중현,21K,1.25,30,0,0,13,5,6,0,2,82.2,44,36,373,91,7,1,7,31,0,14,33,0,2,3.92,1.48,113.5,84.3,-0.31
25,26,고영창,19K,1.19,55,0,0,0,1,3,1,10,54.0,22,21,243,63,8,3,2,14,2,8,22,0,2,3.50,1.43,119.8,100.2,-0.93
26,27,정해영,22K,1.13,27,0,0,0,2,3,19,0,29.0,9,9,119,24,5,1,0,7,1,0,26,0,0,2.79,1.07,140.1,182.2,1.87
27,28,문경찬,18K,0.96,32,0,0,0,0,3,0,0,55.1,29,29,240,62,13,0,10,17,2,2,46,1,3,4.72,1.43,108.8,94.8,-1.16
28,29,전상현,22K,0.96,34,0,0,0,5,3,1,12,32.0,11,8,130,28,4,0,2,7,0,0,35,0,2,2.25,1.09,174.0,150.6,0.20
29,30,홍상삼,20K,0.95,57,0,0,0,4,5,0,17,48.0,27,27,229,32,11,0,5,54,0,3,61,0,8,5.06,1.79,94.8,81.3,-0.55
30,31,임기영,22K,0.86,10,0,0,10,2,4,0,0,57.1,26,26,239,59,8,1,9,11,0,0,41,0,1,4.08,1.22,95.9,86.7,0.07
31,32,유승철,18K,0.84,39,0,0,0,1,0,1,3,47.1,25,23,220,49,10,1,5,29,3,4,44,0,4,4.37,1.65,117.4,98.3,-0.81
