2020 경기 승 패 무 타율 평균자책점 승률
NC 다이노스 144 83 55 6 0.291 4.58 0.601
두산 베어스 144 79 61 4 0.293 4.31 0.564
KT 위즈 144 81 62 1 0.284 4.54 0.566
LG 트윈스 144 79 61 4 0.277 4.37 0.564
키움 히어로즈 144 80 63 1 0.269 4.39 0.559
KIA 타이거즈 144 73 71 0 0.274 5.13 0.507
롯데 자이언츠 144 71 72 1 0.276 4.64 0.497
삼성 라이온즈 144 64 75 5 0.268 4.78 0.460
SK 와이번스 144 51 92 1 0.250 5.57 0.357
한화 이글스 144 46 95 3 0.245 5.28 0.326
2021 경기 승 패 무 타율 평균자책점 승률
KT 위즈 144 76 59 9 0.265 3.67 0.563
두산 베어스 144 71 65 8 0.268 4.26 0.522
삼성 라이온즈 144 76 59 9 0.267 4.30 0.563
LG 트윈스 144 72 58 14 0.250 3.57 0.554
키움 히어로즈 144 70 67 7 0.259 4.31 0.511
SSG 랜더스 144 66 64 14 0.261 4.82 0.508
NC 다이노스 144 67 68 9 0.261 4.54 0.496
롯데 자이언츠 144 65 71 8 0.278 5.37 0.478
KIA 타이거즈 144 58 76 10 0.248 4.89 0.433
한화 이글스 144 49 83 12 0.237 4.65 0.371
2022 경기 승 패 무 타율 평균자책점 승률
SSG 랜더스 71 44 24 3 0.254 3.73 0.647
키움 히어로즈 71 42 28 1 0.245 3.31 0.600
LG 트윈스 70 40 29 1 0.266 3.72 0.580
KIA 타이거즈 69 37 31 1 0.270 4.10 0.544
KT 위즈 70 34 34 2 0.248 3.55 0.500
롯데 자이언츠 69 31 36 2 0.259 4.06 0.463
두산 베어스 68 31 36 1 0.255 4.00 0.463
삼성 라이온즈 70 32 38 0 0.259 3.76 0.457
NC 다이노스 69 27 40 2 0.247 3.81 0.403
한화 이글스 69 23 45 1 0.241 5.12 0.338
2015 경기 승 패 무 타율 평균자책점 승률
두산 베어스 144 79 65 0 0.290 5.02 0.549
삼성 라이온즈 144 88 56 0 0.302 4.69 0.611
NC 다이노스 144 84 57 3 0.289 4.26 0.596
넥센 히어로즈 144 78 65 1 0.298 4.91 0.545
SK 와이번스 144 69 73 2 0.272 4.71 0.486
한화 이글스 144 68 76 0 0.271 5.11 0.472
KIA 타이거즈 144 67 77 0 0.251 4.79 0.465
롯데 자이언츠 144 66 77 1 0.280 5.07 0.462
LG 트윈스 144 64 78 2 0.269 4.62 0.451
KT 위즈 144 52 91 1 0.273 5.56 0.364
2016 경기 승 패 무 타율 평균자책점 승률
두산 베어스 144 93 50 1 0.298 4.45 0.650
NC 다이노스 144 83 58 3 0.291 4.48 0.589
넥센 히어로즈 144 77 66 1 0.293 4.96 0.538
LG 트윈스 144 71 71 2 0.290 5.04 0.500
KIA 타이거즈 144 70 73 1 0.286 4.97 0.490
SK 와이번스 144 69 75 0 0.291 4.87 0.479
한화 이글스 144 66 75 3 0.289 5.76 0.468
롯데 자이언츠 144 66 78 0 0.288 5.63 0.458
삼성 라이온즈 144 65 78 1 0.293 5.64 0.455
KT 위즈 144 53 89 2 0.276 5.92 0.373
2017 경기 승 패 무 타율 평균자책점 승률
KIA 타이거즈 144 87 56 1 0.302 4.79 0.608
두산 베어스 144 84 57 3 0.294 4.38 0.596
롯데 자이언츠 144 80 62 2 0.285 4.56 0.563
NC 다이노스 144 79 62 3 0.293 4.71 0.560
SK 와이번스 144 75 68 1 0.271 5.02 0.524
LG 트윈스 144 69 72 3 0.281 4.30 0.489
넥센 히어로즈 144 69 73 2 0.290 5.03 0.486
한화 이글스 144 61 81 2 0.287 5.28 0.430
삼성 라이온즈 144 55 84 5 0.279 5.88 0.396
KT 위즈 144 50 94 0 0.275 5.75 0.347
2018 경기 승 패 무 타율 평균자책점 승률
SK 와이번스 144 78 65 1 0.281 4.67 0.545
두산 베어스 144 93 51 0 0.309 4.98 0.646
한화 이글스 144 77 67 0 0.275 4.93 0.535
넥센 히어로즈 144 75 69 0 0.288 5.08 0.521
KIA 타이거즈 144 70 74 0 0.295 5.40 0.486
삼성 라이온즈 144 68 72 4 0.288 5.19 0.486
롯데 자이언츠 144 68 74 2 0.289 5.37 0.479
LG 트윈스 144 68 75 1 0.293 5.29 0.476
KT 위즈 144 59 82 3 0.275 5.34 0.418
NC 다이노스 144 58 85 1 0.261 5.48 0.406
2019 경기 승 패 무 타율 평균자책점 승률
두산 베어스 144 88 55 1 0.278 3.51 0.615
키움 히어로즈 144 86 57 1 0.282 3.61 0.601
SK 와이번스 144 88 55 1 0.262 3.48 0.615
LG 트윈스 144 79 64 1 0.267 3.86 0.552
NC 다이노스 144 73 69 2 0.278 4.01 0.514
KT 위즈 144 71 71 2 0.277 4.29 0.500
KIA 타이거즈 144 62 80 2 0.264 4.65 0.437
삼성 라이온즈 144 60 83 1 0.256 4.64 0.420
한화 이글스 144 58 86 0 0.256 4.80 0.403
롯데 자이언츠 144 48 93 3 0.250 4.83 0.340
