"순 이름 팀 정렬
출장
완투
완봉
선발
승
패
세
홀드
이닝
실점
자책
타자
안타
2타
3타
홈런
볼넷
고4
사구
폭투
비율
WAR
WPA"
"WAR
ERA
FIP
WHIP
ERA+
FIP+"
1 고영표 21K 5.23 26 1 1 25 11 6 0 1 166.2 59 54 664 147 20 2 9 27 1 14 1 2.92 3.19 1.04 154.0 139.2 5.23 2.27
2 니퍼트 18K 4.76 29 0 0 28 8 8 0 0 175.2 88 83 765 209 33 4 26 39 2 9 9 4.25 4.66 1.41 124.6 111.4 4.76 -0.06
3 데스파이네 21K 4.00 33 0 0 33 13 10 0 0 188.2 81 71 819 175 30 3 10 78 0 7 15 3.39 3.62 1.34 132.6 122.7 4.00 0.79
4 피어밴드 18K 3.79 27 1 0 26 8 8 0 0 163.1 90 78 707 186 27 1 24 38 0 6 5 4.30 4.83 1.37 123.3 107.7 3.79 -1.28
5 쿠에바스 19K 3.58 30 0 0 30 13 10 0 0 184.0 80 74 760 153 21 6 18 63 0 12 4 3.62 4.43 1.17 115.1 93.1 3.58 1.22
6 고영표 22K 3.46 13 1 1 13 5 5 0 0 91.0 26 25 362 79 13 1 2 13 1 10 0 2.47 2.51 1.01 159.6 155.6 3.46 1.72
7 데스파이네 20K 3.20 35 0 0 34 15 8 0 0 207.2 105 100 906 233 36 1 18 68 1 8 18 4.33 4.30 1.45 110.8 110.7 3.20 0.38
8 김재윤 21K 3.07 65 0 0 0 4 3 32 0 67.0 19 18 275 57 8 0 5 24 4 0 2 2.42 3.29 1.21 185.8 135.2 3.07 1.38
9 알칸타라 19K 2.74 27 1 0 27 11 11 0 0 172.2 80 77 724 189 39 3 15 27 0 8 2 4.01 3.98 1.25 103.8 103.7 2.74 0.88
10 배제성 20K 2.65 26 0 0 26 10 7 0 0 141.1 67 62 619 130 30 1 12 76 0 4 11 3.95 5.18 1.46 121.6 91.8 2.65 1.09
"순 이름 팀 정렬
출장
완투
완봉
선발
승
패
세
홀드
이닝
실점
자책
타자
안타
2타
3타
홈런
볼넷
고4
사구
폭투
비율
WAR
WPA"
"WAR
ERA
FIP
WHIP
ERA+
FIP+"
