"순 이름 팀 정렬
G
타석
타수
득점
안타
2타
3타
홈런
루타
타점
도루
도실
볼넷
사구
고4
삼진
병살
희타
희비
비율
WAR*
WPA"
"WAR*
타율
출루
장타
OPS
wOBA
wRC+"
1 로하스 20KRF 7.76 142 628 550 116 192 39 1 47 374 135 0 1 65 5 5 132 11 0 8 .349 .417 .680 1.097 .467 180.5 7.76 7.29
2 강백호 21K1B 6.35 142 627 516 76 179 40 1 16 269 102 10 5 103 0 10 85 7 0 8 .347 .450 .521 .971 .443 165.5 6.35 5.78
3 로하스 18KCF 5.66 144 645 564 114 172 30 1 43 333 114 18 13 71 7 4 142 10 1 2 .305 .388 .590 .979 .410 138.5 5.66 5.41
4 로하스 19KCF 5.49 142 576 520 68 167 29 3 24 274 104 4 4 48 3 5 120 4 0 5 .321 .379 .527 .905 .405 151.3 5.49 1.20
5 황재균 20K3B 5.13 134 600 541 108 169 35 5 21 277 97 11 6 47 5 0 98 12 3 4 .312 .370 .512 .882 .391 129.6 5.13 3.52
6 강백호 19KRF 4.74 117 504 437 72 147 29 1 13 217 65 9 5 61 2 4 87 11 0 4 .336 .417 .497 .913 .415 157.4 4.74 3.83
7 강백호 20K1B 4.74 129 574 500 95 165 36 1 23 272 89 7 2 66 5 9 93 7 0 3 .330 .411 .544 .955 .421 149.2 4.74 3.13
8 황재균 19K3B 4.05 124 506 447 78 127 16 3 20 209 67 10 7 52 2 2 70 10 0 5 .284 .358 .468 .825 .373 130.2 4.05 2.18
9 배정대 20KCF 3.55 144 615 533 88 154 25 3 13 224 65 22 13 68 5 0 142 9 5 4 .289 .372 .420 .792 .362 110.3 3.55 0.95
10 유한준 18KRF 3.48 121 480 428 59 145 21 1 20 228 83 1 1 47 2 3 53 9 2 1 .339 .406 .533 .939 .404 134.5 3.48 2.84
"순 이름 팀 정렬
G
타석
타수
득점
안타
2타
3타
홈런
루타
타점
도루
도실
볼넷
사구
고4
삼진
병살
희타
희비
비율
WAR*
WPA"
