"순 이름 팀 정렬
출장
완투
완봉
선발
승
패
세
홀드
이닝
실점
자책
타자
안타
2타
3타
홈런
볼넷
고4
사구
삼진
보크
폭투
비율
WAR
WPA"
"WAR
ERA
FIP
WHIP
ERA+
FIP+"
1 고영표 21K 5.23 26 1 1 25 11 6 0 1 166.2 59 54 664 147 20 2 9 27 1 14 130 0 1 2.92 3.19 1.04 154.0 139.2 5.23 2.27
2 니퍼트 18K 4.74 29 0 0 28 8 8 0 0 175.2 88 83 765 209 33 4 26 39 2 9 165 0 9 4.25 4.66 1.41 124.6 111.4 4.74 -0.06
3 데스파이네 21K 4.01 33 0 0 33 13 10 0 0 188.2 81 71 819 175 30 3 10 78 0 7 165 0 15 3.39 3.62 1.34 132.6 122.7 4.01 0.79
4 피어밴드 18K 3.78 27 1 0 26 8 8 0 0 163.1 90 78 707 186 27 1 24 38 0 6 141 0 5 4.30 4.83 1.37 123.3 107.7 3.78 -1.28
5 쿠에바스 19K 3.44 30 0 0 30 13 10 0 0 184.0 80 74 760 153 21 6 18 63 0 12 135 0 4 3.62 4.43 1.17 114.3 92.7 3.44 1.22
6 고영표 22K 3.30 13 1 1 13 5 5 0 0 91.0 26 25 362 79 13 1 2 13 1 10 83 0 0 2.47 2.48 1.01 158.2 155.8 3.30 1.72
7 데스파이네 20K 3.21 35 0 0 34 15 8 0 0 207.2 105 100 906 233 36 1 18 68 1 8 152 0 18 4.33 4.30 1.45 110.9 110.7 3.21 0.38
8 김재윤 21K 3.08 65 0 0 0 4 3 32 0 67.0 19 18 275 57 8 0 5 24 4 0 64 0 2 2.42 3.29 1.21 185.8 135.2 3.08 1.38
9 배제성 20K 2.65 26 0 0 26 10 7 0 0 141.1 67 62 619 130 30 1 12 76 0 4 83 1 11 3.95 5.18 1.46 121.7 91.8 2.65 1.09
10 쿠에바스 20K 2.64 27 0 0 27 10 8 0 0 158.0 80 72 668 152 26 1 16 46 0 9 110 0 4 4.10 4.52 1.25 117.1 105.1 2.64 -0.29
"순 이름 팀 정렬
출장
완투
완봉
선발
승
패
세
홀드
이닝
실점
자책
타자
안타
2타
3타
홈런
볼넷
고4
사구
삼진
보크
폭투
비율
WAR
WPA"
"WAR
ERA
FIP
WHIP
ERA+
FIP+"
